From Time,To Time,Transaction Name,Count,Amount (in crores)
2018-01-01,2018-03-28,Recharge & bill payments,72550406,1447.2713558652579
2018-01-01,2018-03-28,Peer-to-peer payments,46982705,14724.5883542774
2018-01-01,2018-03-28,Merchant payments,5368669,465.6678915140091
2018-01-01,2018-03-28,Financial Services,3762820,81.58531051000277
2018-01-01,2018-03-28,Others,5761576,464.3217301269438
2018-04-01,2018-06-28,Recharge & bill payments,92033715,2435.122561636898
2018-04-01,2018-06-28,Peer-to-peer payments,74558816,26476.767109531844
2018-04-01,2018-06-28,Merchant payments,10613941,905.2859939339659
2018-04-01,2018-06-28,Financial Services,5186569,117.69914192399959
2018-04-01,2018-06-28,Others,4973199,502.74542071405784
2018-07-01,2018-09-28,Peer-to-peer payments,202021587,42596.74217140399
2018-07-01,2018-09-28,Recharge & bill payments,102290514,3136.4311860394596
2018-07-01,2018-09-28,Merchant payments,25175938,1243.3150984830222
2018-07-01,2018-09-28,Financial Services,6218596,89.14478094200314
2018-07-01,2018-09-28,Others,5594554,444.955627754975
2018-10-01,2018-12-28,Peer-to-peer payments,200235002,59499.570937773264
2018-10-01,2018-12-28,Recharge & bill payments,131917248,3957.8607327024283
2018-10-01,2018-12-28,Merchant payments,71498510,3049.7289208339785
2018-10-01,2018-12-28,Financial Services,5216165,86.85846315900132
2018-10-01,2018-12-28,Others,8246415,580.265977444992
